ID,space_alias_name,space_type,space_category,department_occupied
1,Office,Office,Academic - Faculty,Biosciences
2,Academic,Office,Academic - Faculty,Law School
3,Academic PI Office,Office,Academic - Faculty,Biosciences
4,Holding Area 2,Storage Space,Academic - Faculty,School of Education
5,Academic Office,Office,Academic - Faculty,Engineering
6,Academic Office,Office,Academic - Faculty,Mathematics and Statistics
7,Print Unit Reception,Office,Support,Print and Copy Services
8,Office,Office,Academic - Faculty,Biosciences
9,Store,Storage Space,Academic - Faculty,Psychology
10,Store,Storage Space,Support,Facilities Operations
11,CRAB Store,Storage Space,Academic - Faculty,Psychology
12,Study Space,Study Space,Academic - Faculty,Physics and Astronomy
13,Marketplace Shop,Retail Outlets,Support,Retail
14,Academic Office,Office,Academic - Faculty,Physics and Astronomy
15,AUDIO VISUAL BOOTHS - 22 BOOTHS,Library,Support,Library
16,LOADING BAY - DESIGNED SPACE,Library,Support,Library
17,Dark Room,Laboratory,Academic - Faculty,Biosciences
18,QSN Lab and desks,Specialist Area,Academic - Faculty,Physics and Astronomy
19,Academic Office,Office,Academic - Faculty,Sport and Health Sciences
20,Test Cubicle,Specialist Area,Academic - Faculty,Psychology
21,Academic,Office,Academic - Faculty,History
22,Senior Common Room,Social Space,Academic - Faculty,Physics and Astronomy
23,Research Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
24,Laser Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
25,5C Cold Room,Specialist Area,Academic - Faculty,Biosciences
26,Acquisitions Department,Library,Support,Library
27,Academic,Office,Academic - Faculty,Hispanic Studies (ML)
28,Academic,Office,Academic - Faculty,English and Creative Writing
29,PGR/Post Doc Office,Office,Academic - Faculty,Physics and Astronomy
30,Academic,Office,Academic - Faculty,Classics and Ancient History
31,Post Doc Office,Office,Academic - Faculty,Camborne School of Mines
32,Class 4 Laser Lab 2,Specialist Area,Academic - Faculty,Physics and Astronomy
33,Microscopy room,Specialist Area,Academic - Faculty,Biosciences
34,Low Temp Research Semi-Conductor,Specialist Area,Academic - Faculty,Physics and Astronomy
35,Staff Study EdPsych,Office,Academic - Faculty,School of Education
36,Academic Office,Office,Academic - Faculty,Institute of Arab and Islamic Studies
37,Gym,Leisure Facilities,Support,Sports Operations
38,CLES Admin team office,Office,Academic - Faculty,Biosciences
39,Prep/Growth Rooms Area,Specialist Area,Academic - Faculty,Biosciences
40,Cross Keys Study Space,Study Space [PS],Support,Library
41,Academic,Office,Academic - Faculty,Archaeology
42,ARC Lab / Prep Room,Specialist Area,Academic - Faculty,Biosciences
43,Academic,Office,Academic - Faculty,Physics and Astronomy
44,Leventis Room,Specialist Area,Academic - Faculty,Classics and Ancient History
45,Printer Area,Office,Academic - Faculty,History
46,Coldroom,Specialist Area,Academic - Faculty,Biosciences
47,Principal Investigator Office,Office,Academic - Faculty,Biosciences
48,Laboratory Tech Office,Office,Academic - Faculty,Engineering
49,Biocatalysis Office (open plan),Office,Academic - Faculty,Biosciences
50,Furniture Store room,Storage Space,Academic - Faculty,School of Education
51,Lecturer Office,Office,Academic - Faculty,Biosciences
52,Thornton West Kitchen,Retail Outlets,Support,Event Operations
53,Academic +1 Hotdesk,Office,Academic - Faculty,Psychology
54,Store,Storage Space,Support,Event Operations
55,Academic,Office,Academic - Faculty,Psychology
56,Office,Office,Support,Accommodation Office
57,Academic,Office,Academic - Faculty,Italian (ML)
58,Laboratory,Computer Room,Academic - Faculty,Engineering
59,Microprep Room,Specialist Area,Academic - Faculty,Biosciences
60,Laser Lab,Laboratory,Academic - Faculty,Physics and Astronomy
61,Store,Storage Space,Academic - Faculty,Camborne School of Mines
62,Aquarium,Specialist Area,Academic - Faculty,Biosciences
63,Study Room 2,Meeting Room,Academic - Faculty,Foreign Language Centre
64,Microscopes,Specialist Area,Academic - Faculty,Physics and Astronomy
65,Academic Office - Wellcome Trust Centre,Office,Academic - Faculty,History
66,XEROX LOBBY,Library,Support,Library
67,Academic - English,Office,Academic - Faculty,English and Creative Writing
68,Academic office,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
69,Group Study Space 1,Study Space [PS],Support,Library
70,MALE ABLUTIONS,Leisure Facilities,Support,Sports Operations
71,Principal Investigator Office,Office,Academic - Faculty,Physics and Astronomy
72,Lab,Specialist Area,Academic - Faculty,Biosciences
73,Blood & Tissue Prep,Laboratory,Academic - Faculty,Sport and Health Sciences
74,Autoclave Room,Specialist Area,Academic - Faculty,Biosciences
75,STORE,Leisure Facilities,Support,Sports Operations
76,STORE BY CH IN POOL AREA,Leisure Facilities,Support,Sports Operations
77,Electromagnetic and Acoustic Materials Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
78,Academic,Office,Academic - Faculty,Politics
79,16 Person Changing Room,Leisure Facilities,Support,Sports Operations
80,Controlled Temperature Room,Specialist Area,Academic - Faculty,Biosciences
81,CLES Office 2,Office,Academic - Faculty,Biosciences
82,Meeting Space,Meeting Room,Academic - Faculty,Law School
83,PS Office and Meeting Room,Office,Academic - Faculty,Physics and Astronomy
84,CALMARE,Specialist Area,Academic - Faculty,Engineering
85,SEMINAR ROOM,Library,Support,Library
86,Comms,Other Space,Support,IT Services
87,Store,Storage Space,Academic - Faculty,School of Education
88,Academic,Office,Academic - Faculty,Theology and Religion
89,Main Bioimaging Lab,Specialist Area,Academic - Faculty,Biosciences
90,Workshop Office,Office,Academic - Faculty,Engineering
91,Molecular Laboratory,Specialist Area,Academic - Faculty,Psychology
92,PhD Research Room,Office,Academic - Faculty,Archaeology
93,Store,Storage Space,Academic - Faculty,Physics and Astronomy
94,Office 6,Office,Academic - Faculty,Drama
95,Biocatalysis Biochemistry Lab,Specialist Area,Academic - Faculty,Biosciences
96,Servers,Other Space,Support,IT Services
97,Prep Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
98,AV Store,Storage Space,Academic - Faculty,Drama
99,Teaching Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
100,Postdoc Office,Office,Academic - Faculty,Physics and Astronomy
101,Seminar / Write Up Room,Office,Academic - Faculty,Biosciences
